LAT,LON,T2M_MIN,DATE
-38.5,144.375,14.99,2006-01-12
-38.5,145,15.44,2006-01-12
-38.5,145.625,13.44,2006-01-12
-38,143.125,11.92,2006-01-12
-38,143.75,12.33,2006-01-12
-38,144.375,14.38,2006-01-12
-38,145,14.36,2006-01-12
-38,145.625,11.59,2006-01-12
-40,143.125,13.16,2006-01-13
-40,143.75,13.39,2006-01-13
-40,144.375,13.74,2006-01-13
-40,145,14.02,2006-01-13
-40,145.625,14.02,2006-01-13
-39.5,143.125,13.57,2006-01-13
-39.5,143.75,13.97,2006-01-13
-39.5,144.375,14.11,2006-01-13
-39.5,145,13.81,2006-01-13
-39.5,145.625,14.03,2006-01-13
-39,143.125,13.94,2006-01-13
-39,143.75,13.49,2006-01-13
-39,144.375,14.03,2006-01-13
-39,145,14.06,2006-01-13
-39,145.625,14.36,2006-01-13
-38.5,143.125,9.8,2006-01-13
-38.5,143.75,11,2006-01-13
-38.5,144.375,13.91,2006-01-13
-38.5,145,14.33,2006-01-13
-38.5,145.625,11.71,2006-01-13
-38,143.125,8.71,2006-01-13
-38,143.75,9.58,2006-01-13
-38,144.375,11.64,2006-01-13
-38,145,12.04,2006-01-13
-38,145.625,8.62,2006-01-13
-40,143.125,13.88,2006-01-14
-40,143.75,13.98,2006-01-14
-40,144.375,14.26,2006-01-14
-40,145,14.45,2006-01-14
-40,145.625,14.92,2006-01-14
-39.5,143.125,14.41,2006-01-14
-39.5,143.75,14.56,2006-01-14
-39.5,144.375,14.82,2006-01-14
-39.5,145,15.03,2006-01-14
-39.5,145.625,15.32,2006-01-14
-39,143.125,15.11,2006-01-14
-39,143.75,14.6,2006-01-14
-39,144.375,15.33,2006-01-14
-39,145,15.39,2006-01-14
-39,145.625,15.6,2006-01-14
-38.5,143.125,13.39,2006-01-14
-38.5,143.75,13.81,2006-01-14
-38.5,144.375,15.21,2006-01-14
-38.5,145,15.71,2006-01-14
-38.5,145.625,14.5,2006-01-14
-38,143.125,13.11,2006-01-14
-38,143.75,13.44,2006-01-14
-38,144.375,14.71,2006-01-14
-38,145,14.66,2006-01-14
-38,145.625,11.86,2006-01-14
-40,143.125,13.91,2006-01-15
-40,143.75,14.96,2006-01-15
-40,144.375,15.29,2006-01-15
-40,145,16.12,2006-01-15
-40,145.625,16.24,2006-01-15
-39.5,143.125,14.78,2006-01-15
-39.5,143.75,15.51,2006-01-15
-39.5,144.375,15.37,2006-01-15
-39.5,145,15.98,2006-01-15
-39.5,145.625,16.15,2006-01-15
-39,143.125,15.39,2006-01-15
-39,143.75,15.82,2006-01-15
-39,144.375,15.44,2006-01-15
-39,145,15.71,2006-01-15
-39,145.625,16.17,2006-01-15
-38.5,143.125,14.08,2006-01-15
-38.5,143.75,14.86,2006-01-15
-38.5,144.375,15.86,2006-01-15
-38.5,145,16.2,2006-01-15
-38.5,145.625,14.82,2006-01-15
-38,143.125,13.78,2006-01-15
-38,143.75,13.46,2006-01-15
-38,144.375,14.55,2006-01-15
-38,145,14.61,2006-01-15
-38,145.625,12.98,2006-01-15
-40,143.125,14.99,2006-01-16
-40,143.75,15.13,2006-01-16
-40,144.375,15.26,2006-01-16
-40,145,15.48,2006-01-16
-40,145.625,15.83,2006-01-16
-39.5,143.125,15.35,2006-01-16
-39.5,143.75,15.86,2006-01-16
-39.5,144.375,15.83,2006-01-16
-39.5,145,15.91,2006-01-16
-39.5,145.625,16.14,2006-01-16
-39,143.125,15.94,2006-01-16
-39,143.75,16.13,2006-01-16
-39,144.375,16.19,2006-01-16
-39,145,16.07,2006-01-16
-39,145.625,16.56,2006-01-16
-38.5,143.125,15.42,2006-01-16
-38.5,143.75,15.56,2006-01-16
-38.5,144.375,16.56,2006-01-16
-38.5,145,16.97,2006-01-16
-38.5,145.625,16.36,2006-01-16
-38,143.125,14.72,2006-01-16
-38,143.75,15.38,2006-01-16
-38,144.375,16.54,2006-01-16
-38,145,16.59,2006-01-16
-38,145.625,15.68,2006-01-16
-40,143.125,13.73,2006-01-17
-40,143.75,13.72,2006-01-17
-40,144.375,14.21,2006-01-17
-40,145,15.11,2006-01-17
-40,145.625,15.48,2006-01-17
-39.5,143.125,14.14,2006-01-17
-39.5,143.75,14.29,2006-01-17
-39.5,144.375,14.91,2006-01-17
-39.5,145,15.77,2006-01-17
-39.5,145.625,15.95,2006-01-17
-39,143.125,14.91,2006-01-17
-39,143.75,14.37,2006-01-17
-39,144.375,15.55,2006-01-17
-39,145,16.17,2006-01-17
-39,145.625,16.63,2006-01-17
-38.5,143.125,11.95,2006-01-17
-38.5,143.75,12.46,2006-01-17
-38.5,144.375,15.22,2006-01-17
-38.5,145,16.29,2006-01-17
-38.5,145.625,14.92,2006-01-17
-38,143.125,10.6,2006-01-17
-38,143.75,10.7,2006-01-17
-38,144.375,13.28,2006-01-17
-38,145,15.42,2006-01-17
-38,145.625,13.44,2006-01-17
-40,143.125,15.35,2006-01-18
-40,143.75,15.77,2006-01-18
-40,144.375,15.47,2006-01-18
-40,145,15.4,2006-01-18
-40,145.625,15.36,2006-01-18
-39.5,143.125,15.95,2006-01-18
-39.5,143.75,16.28,2006-01-18
-39.5,144.375,15.92,2006-01-18
-39.5,145,15.86,2006-01-18
-39.5,145.625,15.91,2006-01-18
-39,143.125,16.54,2006-01-18
-39,143.75,16.26,2006-01-18
-39,144.375,16.4,2006-01-18
-39,145,16.62,2006-01-18
-39,145.625,16.36,2006-01-18
-38.5,143.125,14.04,2006-01-18
-38.5,143.75,14.41,2006-01-18
-38.5,144.375,16,2006-01-18
-38.5,145,16.33,2006-01-18
-38.5,145.625,15.19,2006-01-18
-38,143.125,12.5,2006-01-18
-38,143.75,12.13,2006-01-18
-38,144.375,14.26,2006-01-18
-38,145,15.69,2006-01-18
-38,145.625,13.58,2006-01-18
-40,143.125,16.66,2006-01-19
-40,143.75,17.14,2006-01-19
-40,144.375,16.83,2006-01-19
-40,145,16.59,2006-01-19
-40,145.625,16.44,2006-01-19
-39.5,143.125,17.38,2006-01-19
-39.5,143.75,17.95,2006-01-19
-39.5,144.375,17.32,2006-01-19
-39.5,145,16.89,2006-01-19
-39.5,145.625,17.02,2006-01-19
-39,143.125,19.27,2006-01-19
-39,143.75,20.07,2006-01-19
-39,144.375,18.43,2006-01-19
-39,145,18.61,2006-01-19
-39,145.625,18.85,2006-01-19
-38.5,143.125,23.62,2006-01-19
-38.5,143.75,22.7,2006-01-19
-38.5,144.375,21.59,2006-01-19
-38.5,145,21.39,2006-01-19
-38.5,145.625,20.78,2006-01-19
-38,143.125,22.43,2006-01-19
-38,143.75,22.39,2006-01-19
-38,144.375,22.06,2006-01-19
-38,145,21.17,2006-01-19
-38,145.625,20.87,2006-01-19
-40,143.125,14.6,2006-01-20
-40,143.75,14.96,2006-01-20
-40,144.375,15.52,2006-01-20
-40,145,15.92,2006-01-20
-40,145.625,16.23,2006-01-20
-39.5,143.125,15.15,2006-01-20
-39.5,143.75,15.53,2006-01-20
-39.5,144.375,16.1,2006-01-20
-39.5,145,16.55,2006-01-20
-39.5,145.625,16.91,2006-01-20
-39,143.125,16.21,2006-01-20
-39,143.75,16.54,2006-01-20
-39,144.375,17.2,2006-01-20
-39,145,17.62,2006-01-20
-39,145.625,17.67,2006-01-20
-38.5,143.125,16.38,2006-01-20
-38.5,143.75,17.91,2006-01-20
-38.5,144.375,17.8,2006-01-20
-38.5,145,18.04,2006-01-20
-38.5,145.625,18.17,2006-01-20
-38,143.125,19.36,2006-01-20
-38,143.75,18.74,2006-01-20
-38,144.375,18.56,2006-01-20
-38,145,19.02,2006-01-20
-38,145.625,19.92,2006-01-20
-40,143.125,14.74,2006-01-21
-40,143.75,15.74,2006-01-21
-40,144.375,16.35,2006-01-21
-40,145,16.38,2006-01-21
-40,145.625,16.49,2006-01-21
-39.5,143.125,16.1,2006-01-21
-39.5,143.75,17.21,2006-01-21
-39.5,144.375,16.84,2006-01-21
-39.5,145,16.77,2006-01-21
-39.5,145.625,17.02,2006-01-21
-39,143.125,17.85,2006-01-21
-39,143.75,19.99,2006-01-21
-39,144.375,17.98,2006-01-21
-39,145,18.06,2006-01-21
-39,145.625,19.27,2006-01-21
-38.5,143.125,24.61,2006-01-21
-38.5,143.75,22.96,2006-01-21
-38.5,144.375,19.99,2006-01-21
-38.5,145,20.71,2006-01-21
-38.5,145.625,22.44,2006-01-21
-38,143.125,24.96,2006-01-21
-38,143.75,25.63,2006-01-21
-38,144.375,23.31,2006-01-21
-38,145,23.04,2006-01-21
-38,145.625,24.86,2006-01-21
-40,143.125,14.66,2006-01-22
