LAT,LON,T2M,DATE
-38.5,145,19.31,2006-01-28
-38.5,145.625,21.6,2006-01-28
-38,143.125,25.23,2006-01-28
-38,143.75,23.87,2006-01-28
-38,144.375,22.48,2006-01-28
-38,145,21.88,2006-01-28
-38,145.625,25.14,2006-01-28
-40,143.125,15.36,2006-01-29
-40,143.75,15.52,2006-01-29
-40,144.375,16.01,2006-01-29
-40,145,16.56,2006-01-29
-40,145.625,17.05,2006-01-29
-39.5,143.125,15.91,2006-01-29
-39.5,143.75,16.41,2006-01-29
-39.5,144.375,16.68,2006-01-29
-39.5,145,16.98,2006-01-29
-39.5,145.625,17.44,2006-01-29
-39,143.125,16.48,2006-01-29
-39,143.75,16.96,2006-01-29
-39,144.375,17.31,2006-01-29
-39,145,17.67,2006-01-29
-39,145.625,18.33,2006-01-29
-38.5,143.125,17.86,2006-01-29
-38.5,143.75,18.52,2006-01-29
-38.5,144.375,17.99,2006-01-29
-38.5,145,19.02,2006-01-29
-38.5,145.625,20.75,2006-01-29
-38,143.125,19.81,2006-01-29
-38,143.75,21.15,2006-01-29
-38,144.375,21.28,2006-01-29
-38,145,21.63,2006-01-29
-38,145.625,23.37,2006-01-29
-40,143.125,15.53,2006-01-30
-40,143.75,15.43,2006-01-30
-40,144.375,15.71,2006-01-30
-40,145,16.19,2006-01-30
-40,145.625,16.94,2006-01-30
-39.5,143.125,15.92,2006-01-30
-39.5,143.75,16.07,2006-01-30
-39.5,144.375,16.48,2006-01-30
-39.5,145,16.8,2006-01-30
-39.5,145.625,17.2,2006-01-30
-39,143.125,16.4,2006-01-30
-39,143.75,16.26,2006-01-30
-39,144.375,16.96,2006-01-30
-39,145,17.22,2006-01-30
-39,145.625,17.16,2006-01-30
-38.5,143.125,15.71,2006-01-30
-38.5,143.75,16.15,2006-01-30
-38.5,144.375,16.94,2006-01-30
-38.5,145,17.03,2006-01-30
-38.5,145.625,15.96,2006-01-30
-38,143.125,15.71,2006-01-30
-38,143.75,16.41,2006-01-30
-38,144.375,16.87,2006-01-30
-38,145,16.55,2006-01-30
-38,145.625,14.92,2006-01-30
-40,143.125,16.37,2006-01-31
-40,143.75,16.59,2006-01-31
-40,144.375,16.91,2006-01-31
-40,145,17.13,2006-01-31
-40,145.625,17.2,2006-01-31
-39.5,143.125,16.83,2006-01-31
-39.5,143.75,17.2,2006-01-31
-39.5,144.375,17.43,2006-01-31
