DATE,SST,LON,LAT
2006-01-16,18.52285714,145.625,-38.875
2006-01-16,18.03714286,143.125,-38.625
2006-01-16,18.64,143.875,-38.625
2006-01-16,18.59571429,144.125,-38.625
2006-01-16,18.6,144.375,-38.625
2006-01-16,18.63571429,144.625,-38.625
2006-01-16,18.77714286,144.875,-38.625
2006-01-16,18.69571429,145.125,-38.625
2006-01-16,18.66,145.375,-38.625
2006-01-16,18.63428571,145.625,-38.625
2006-01-16,18.79428571,144.375,-38.375
2006-01-16,18.93714286,144.625,-38.375
2006-01-16,19.35714286,144.875,-38.375
2006-01-16,20.19,144.875,-38.125
2006-01-16,20.50571429,145.125,-38.125
2006-01-16,20.39428571,144.875,-37.875
2006-01-23,17.43,143.125,-39.875
2006-01-23,17.68714286,143.375,-39.875
2006-01-23,17.88285714,143.625,-39.875
2006-01-23,17.70714286,144.375,-39.875
2006-01-23,17.71428571,144.625,-39.875
2006-01-23,17.80714286,144.875,-39.875
2006-01-23,17.86285714,145.125,-39.875
2006-01-23,17.87857143,145.375,-39.875
2006-01-23,17.90285714,145.625,-39.875
2006-01-23,17.81857143,143.125,-39.625
2006-01-23,17.97571429,143.375,-39.625
2006-01-23,18.11571429,143.625,-39.625
2006-01-23,18.02714286,144.375,-39.625
2006-01-23,18.08285714,144.625,-39.625
2006-01-23,18.13571429,144.875,-39.625
2006-01-23,18.14857143,145.125,-39.625
2006-01-23,18.14857143,145.375,-39.625
2006-01-23,18.16857143,145.625,-39.625
2006-01-23,18.16571429,143.125,-39.375
2006-01-23,18.22714286,143.375,-39.375
2006-01-23,18.28285714,143.625,-39.375
2006-01-23,18.28571429,143.875,-39.375
2006-01-23,18.26571429,144.125,-39.375
2006-01-23,18.31,144.375,-39.375
2006-01-23,18.37142857,144.625,-39.375
2006-01-23,18.41142857,144.875,-39.375
2006-01-23,18.42714286,145.125,-39.375
2006-01-23,18.43,145.375,-39.375
2006-01-23,18.44857143,145.625,-39.375
2006-01-23,18.52142857,143.125,-39.125
2006-01-23,18.50571429,143.375,-39.125
2006-01-23,18.49857143,143.625,-39.125
2006-01-23,18.45714286,143.875,-39.125
2006-01-23,18.48714286,144.125,-39.125
2006-01-23,18.54142857,144.375,-39.125
2006-01-23,18.56714286,144.625,-39.125
2006-01-23,18.63571429,144.875,-39.125
2006-01-23,18.71285714,145.125,-39.125
2006-01-23,18.76142857,145.375,-39.125
2006-01-23,18.79285714,145.625,-39.125
2006-01-23,18.72571429,143.125,-38.875
2006-01-23,18.7,143.375,-38.875
2006-01-23,18.68285714,143.625,-38.875
2006-01-23,18.66428571,143.875,-38.875
2006-01-23,18.67857143,144.125,-38.875
2006-01-23,18.71428571,144.375,-38.875
2006-01-23,18.77714286,144.625,-38.875
2006-01-23,18.88428571,144.875,-38.875
2006-01-23,18.99142857,145.125,-38.875
2006-01-23,19.05857143,145.375,-38.875
2006-01-23,19.10714286,145.625,-38.875
2006-01-23,18.75571429,143.125,-38.625
2006-01-23,18.77428571,143.875,-38.625
2006-01-23,18.84285714,144.125,-38.625
2006-01-23,18.92142857,144.375,-38.625
2006-01-23,19.01142857,144.625,-38.625
2006-01-23,19.15428571,144.875,-38.625
2006-01-23,19.14428571,145.125,-38.625
2006-01-23,19.17428571,145.375,-38.625
2006-01-23,19.23,145.625,-38.625
2006-01-23,19.04571429,144.375,-38.375
2006-01-23,19.18285714,144.625,-38.375
2006-01-23,19.53428571,144.875,-38.375
2006-01-23,20.13428571,144.875,-38.125
2006-01-23,20.36428571,145.125,-38.125
2006-01-23,20.31285714,144.875,-37.875
2006-01-30,17.23428571,143.125,-39.875
2006-01-30,17.46571429,143.375,-39.875
2006-01-30,17.63857143,143.625,-39.875
2006-01-30,17.66857143,144.375,-39.875
2006-01-30,17.73571429,144.625,-39.875
2006-01-30,17.84,144.875,-39.875
2006-01-30,17.90142857,145.125,-39.875
2006-01-30,17.89,145.375,-39.875
2006-01-30,17.90714286,145.625,-39.875
2006-01-30,17.54,143.125,-39.625
2006-01-30,17.77285714,143.375,-39.625
2006-01-30,17.95,143.625,-39.625
2006-01-30,18.05857143,144.375,-39.625
2006-01-30,18.09714286,144.625,-39.625
2006-01-30,18.11142857,144.875,-39.625
2006-01-30,18.11428571,145.125,-39.625
2006-01-30,18.1,145.375,-39.625
2006-01-30,18.13285714,145.625,-39.625
2006-01-30,17.96857143,143.125,-39.375
2006-01-30,18.13571429,143.375,-39.375
2006-01-30,18.27571429,143.625,-39.375
2006-01-30,18.37428571,143.875,-39.375
2006-01-30,18.40714286,144.125,-39.375
2006-01-30,18.42571429,144.375,-39.375
2006-01-30,18.43571429,144.625,-39.375
2006-01-30,18.42285714,144.875,-39.375
2006-01-30,18.39428571,145.125,-39.375
2006-01-30,18.39285714,145.375,-39.375
2006-01-30,18.43571429,145.625,-39.375
2006-01-30,18.42428571,143.125,-39.125
2006-01-30,18.52571429,143.375,-39.125
2006-01-30,18.62857143,143.625,-39.125
2006-01-30,18.72857143,143.875,-39.125
2006-01-30,18.74714286,144.125,-39.125
2006-01-30,18.76571429,144.375,-39.125
2006-01-30,18.77857143,144.625,-39.125
2006-01-30,18.79,144.875,-39.125
2006-01-30,18.77714286,145.125,-39.125
2006-01-30,18.78285714,145.375,-39.125
2006-01-30,18.82428571,145.625,-39.125
2006-01-30,18.68,143.125,-38.875
2006-01-30,18.72428571,143.375,-38.875
2006-01-30,18.81857143,143.625,-38.875
2006-01-30,18.95571429,143.875,-38.875
2006-01-30,19.00571429,144.125,-38.875
2006-01-30,19.03857143,144.375,-38.875
2006-01-30,19.08428571,144.625,-38.875
2006-01-30,19.13857143,144.875,-38.875
2006-01-30,19.14,145.125,-38.875
2006-01-30,19.12857143,145.375,-38.875
2006-01-30,19.14714286,145.625,-38.875
2006-01-30,18.75857143,143.125,-38.625
2006-01-30,19.09142857,143.875,-38.625
2006-01-30,19.17571429,144.125,-38.625
2006-01-30,19.24285714,144.375,-38.625
2006-01-30,19.29857143,144.625,-38.625
2006-01-30,19.38714286,144.875,-38.625
2006-01-30,19.35285714,145.125,-38.625
2006-01-30,19.32857143,145.375,-38.625
2006-01-30,19.33,145.625,-38.625
2006-01-30,19.33428571,144.375,-38.375
2006-01-30,19.42714286,144.625,-38.375
2006-01-30,19.59714286,144.875,-38.375
2006-01-30,19.83428571,144.875,-38.125
2006-01-30,19.94142857,145.125,-38.125
2006-01-30,19.86571429,144.875,-37.875
2006-02-06,17.33428571,143.125,-39.875
2006-02-06,17.59571429,143.375,-39.875
2006-02-06,17.71714286,143.625,-39.875
2006-02-06,17.55571429,144.375,-39.875
2006-02-06,17.58857143,144.625,-39.875
2006-02-06,17.67,144.875,-39.875
2006-02-06,17.67714286,145.125,-39.875
2006-02-06,17.59142857,145.375,-39.875
2006-02-06,17.57,145.625,-39.875
2006-02-06,17.61571429,143.125,-39.625
2006-02-06,17.89714286,143.375,-39.625
2006-02-06,18.00285714,143.625,-39.625
2006-02-06,17.96285714,144.375,-39.625
2006-02-06,17.92428571,144.625,-39.625
2006-02-06,17.89714286,144.875,-39.625
2006-02-06,17.83857143,145.125,-39.625
